Name;Century;Nationality;Movement;Paintings
Caravaggio;XVII;Italy;baroque;Supper at Emmaus,Cupid as Victor
Artemisia Gentileschi;XVII;Italy;baroque;Jael and Sisera,Judith and Holofernes
Abraham Janssens;XVII;Flanders;mannerism;The Virgin and Child with the infant St John the Baptist,Ceres Bacchus and Venus
Luis Tristan;XVII;Spain;mannerism;The Adoration of the Magi,St Dominic in Penitence
Nicolas Poussin;XVII;France;classicism;The Nurture of Bacchus,Landscape during a Thunderstorm with Pyramus and thisbe
Laurent de La Hyre;XVII;France;classicism;Cornelia Rejecting the Crown of the Ptolemies,Theseus Finding the Sword and the Shoes of his Father
Jan Vermeer;XVII;Netherlands;dutch golden age;The milkmaid,Girl with a Pearl Earring
Rembrandt;XVII;Netherlands;dutch golden age;The Night Watch,Jeremiah Lamenting the Destruction of Jerusalem
Francesco Solimena;XVIII;Italy;baroque;Madonna and Child in the Glory of the Saints,The Annunciation
Rachel Ruysch;XVIII;Netherlands;baroque;Still-Life with Flowers,Still Life with Flowers on a Marble Tabletop
Francisco Goya;XVIII;Spain;romanticism;Witches' Sabbath,Autorretrato ante el caballete
George Stubbs;XVIII;England;romanticism;A Monkey,Horse Devoured by a Lion
Jacob Philipp Hackert;XVIII;Germany;classicism;Landscape with the Palace at Caserta and Vesuvius,Italienische Landschaft
Pompeo Batoni;XVIII;Italy;classicism;Apollo and two Muses,Retrato de D Manuel de Roda
Francois Boucher;XVIII;France;rococo;The Triumph of Venus,Madame de Pompadour
Francesco Guardi;XVIII;Italy;rococo;Gondolas on the Lagoon,View of the Giudecca Canal and the Zattere
Paul Cezanne;XIX;France;impressionism;Still life with kettle,Still life
Anna Ancher;XIX;Denmark;impressionism;Sunlight in the blue room,Interior with clematis
Vincent van Gogh;XIX;Netherlands;post-impressionism;Landscape from Saint-Remy,Green Field
Paul Gauguin;XIX;France;post-impressionism;Three Tahitians,Arearea
Georges Seurat;XIX;France;neo-impressionism;The Seine at Courbevoie,La Luzerne Saint-Denis
Camille Pissarro;XIX;France;neo-impressionism;The Oise near Pontoise in Grey Weather,June Morning at Pontoise
Theophile Alexandre Steinlen;XIX;France;secession;Tournee du Chat Noir,Cocorico
Stanislaw Wyspianski;XIX;Poland;secession;Dziewczynka w niebieskim kapeluszu,Poranek pod Wawelem