Imię;nazwisko;Data urodzin;Data śmierci;narodowość;nurt;Obrazy
;Caravaggio;1571;1610;Italy;baroque;Supper at Emmaus, Cupid as Victor
Artemisia;Gentileschi;1593;1653;Italy;baroque;Jael and Sisera, Judith and Holofernes
Abraham;Janssens;1567;1632;Flanders;mannerism;The Virgin and Child with the infant St John the Baptist, Ceres Bacchus and Venus
Luis;Tristan;1586;1624;Spain;mannerism;The Adoration of the Magi, St Dominic in Penitence
Nicolas;Poussin;1594;1665;France;classicism;The Nurture of Bacchus, Landscape during a Thunderstorm with Pyramus and thisbe
Laurent;de La Hyre;1606;1656;France;classicism;Cornelia Rejecting the Crown of the Ptolemies, Theseus Finding the Sword and the Shoes of his Father
Jan;Vermeer;1632;1675;Holland;dutch golden age;The milkmaid, Girl with a Pearl Earring
;Rembrandt;1606;1669;Holland;dutch golden age;The Night Watch, Jeremiah Lamenting the Destruction of Jerusalem
Francesco;Solimena;1657;1747;Italy;baroque;Madonna and Child in the Glory of the Saints, The Annunciation
Rachel;Ruysch;1664;1750;Holland;baroque;Still-Life with Flowers, Still Life with Flowers on a Marble Tabletop
Francisco;Goya;1746;1828;Spain;romanticism;Witches' Sabbath, Autorretrato ante el caballete
George;Stubbs;1724;1806;England;romanticism;A Monkey, Horse Devoured by a Lion
Jacob Philipp;Hackert;1737;1737;Germany;classicism;Landscape with the Palace at Caserta and Vesuvius, Italienische Landschaft
Pompeo;Batoni;1708;1787;Italy;classicism;Apollo and two Muses, Retrato de D. Manuel de Roda
François;Boucher;1703;1770;France;rococo;The Triumph of Venus, Madame de Pompadour
Francesco;Guardi;1712;1793;Italy;rococo;Gondolas on the Lagoon, View of the Giudecca Canal and the Zattere
Paul;Cezanne;1839;1839;France;impressionism;Still life with kettle, Still life
Anna;Ancher;1859;1935;Denmark;impressionism;Sunlight in the blue room, Interior with clematis
Vincent;van Gogh;1853;1890;Holland;post-impressionism;Landscape from Saint-Remy, Green Field
Paul;Gauguin;1848;1903;France;post-impressionism;Three Tahitians, Arearea
Georges;Seurat;1859;1891;France;neo-impressionism;The Seine at Courbevoie, La Luzerne Saint-Denis
Camille;Pissarro;1830;1903;France;neo-impressionism;The Oise near Pontoise in Grey Weather, June Morning at Pontoise
Theophile Alexandre;Steinlen;1859;1923;France;secession;Tournee du Chat Noir, Cocorico
Stanislaw;Wyspianski;1869;1907;Poland;secession;Dziewczynka w niebieskim kapeluszu, Poranek pod Wawelem (Planty o swicie)