Painting;Museum;City;Country
Supper at Emmaus;The National Gallery;London;England
Cupid as Victor;Gemaldegalerie Staatliche Museen zu Berlin;Berlin;Germany
Jael and Sisera;Museum of Fine Arts;Budapest;Hungary
Judith and Holofernes;Uffizi Gallery;Firenze;Italy
The Virgin and Child with the infant St John the Baptist;The Kremer Collection;Amsterdam;Netherlands
Ceres Bacchus and Venus;Muzeul National Brukenthal;Sibiu;Romania
The Adoration of the Magi;Museum of Fine Arts;Budapest;Hungary
St Dominic in Penitence;Museo del Greco;Toledo;Spain
The Nurture of Bacchus;Dulwich Picture Gallery;London;England
Landscape during a Thunderstorm with Pyramus and thisbe;Stadel Museum;Frankfurt am Main;Germany
Cornelia Rejecting the Crown of the Ptolemies;Museum of Fine Arts;Budapest;Hungary
Theseus Finding the Sword and the Shoes of his Father;Museum of Fine Arts;Budapest;Hungary
The milkmaid;Rijksmuseum;Amsterdam;Netherlands
Girl with a Pearl Earring;Mauritshuis;Hague;Netherlands
The Night Watch;Rijksmuseum;Amsterdam;Netherlands
Jeremiah Lamenting the Destruction of Jerusalem;Rijksmuseum;Amsterdam;Netherlands
Madonna and Child in the Glory of the Saints;Kunsthalle Bremen;Bremen;Germany
The Annunciation;SMK - Statens Museum for Kunst;Copenhagen;Denmark
Still-Life with Flowers;Hallwyl Museum;Stockholm;Sweden
Still Life with Flowers on a Marble Tabletop;Rijksmuseum;Amsterdam;Netherlands
Witches' Sabbath;Museo Lazaro Galdiano;Madrid;Spain
Autorretrato ante el caballete;Real Academia de Bellas Artes de San Fernando;Madrid;Spain
A Monkey;Walker Art Gallery;Liverpool;England
Horse Devoured by a Lion;Tate Britain;London;England
Landscape with the Palace at Caserta and Vesuvius;Museo Nacional Thyssen-Bornemisza;Madrid;Spain
Italienische Landschaft;Herzog Anton Ulrich-Museum;Braunschweig;Germany
Apollo and two Muses;The Wilanów Palace Museum;Warsaw;Poland
Retrato de D. Manuel de Roda;Real Academia de Bellas Artes de San Fernando;Madrid;Spain
The Triumph of Venus;Nationalmuseum Sweden;Stockholm;Sweden
Madame de Pompadour;Scottish National Gallery;Edinburgh;Scotland
Gondolas on the Lagoon;Museo Poldi Pezzoli;Milan;Italy
View of the Giudecca Canal and the Zattere;Museo Nacional Thyssen-Bornemisza;Madrid;Spain
Still life with kettle;Musee d’Orsay;Paris;France
Still life;The National Museum of Art;Oslo;Norway
Sunlight in the blue room;Skagens Museum;Skagen;Denmark
Interior with clematis;Skagens Museum;Skagen;Denmark
Landscape from Saint-Remy;Ny Carlsberg Glyptotek;Copenhagen;Denmark
Green Field;National Gallery;Prague;Czech Republic
Three Tahitians;Scottish National Gallery;Edinburgh;Scotland
Arearea;Musee d’Orsay;Paris;France
The Seine at Courbevoie;Van Gogh Museum;Amsterdam;Netherlands
La Luzerne Saint-Denis;Scottish National Gallery;Edinburgh;Scotland
The Oise near Pontoise in Grey Weather;Museum Boijmans Van Beuningen;Rotterdam;Netherlands
June Morning at Pontoise;Staatliche Kunsthalle Karlsruhe;Karlsruhe;Germany
Tournee du Chat Noir;Museu Nacional d'Art de Catalunya;Barcelona;Spain
Cocorico;Museu Nacional d'Art de Catalunya;Barcelona;Spain
Dziewczynka w niebieskim kapeluszu;Muzeum Narodowe;Cracow;Poland
Poranek pod Wawelem (Planty o świcie);Muzeum Narodowe;Cracow;Poland